,idMedal,descMedal,descTypeMedal
0,1,Membro Premium,MEDAL
1,2,Elite,MEDAL
2,3,Membro Plus,MEDAL
3,4,Bom Comportamento,MEDAL
4,5,Já conquistou 25 Vitórias,MEDAL
5,6,Pilar da Comunidade,MEDAL
6,7,Já conquistou 10 Vitórias,MEDAL
7,8,Tribo Gaules,MEDAL
8,9,Terminou o tutorial da Gamers Club,MEDAL
9,10,Bomberman 1,MEDAL
10,11,Clutch Master 1,MEDAL
11,12,Fast Trigger 1,MEDAL
12,13,Invictus 1,MEDAL
13,14,King Of Lobby 1,MEDAL
14,15,Eu participei - Perfil Made In Brazil,MEDAL
15,16,Horas Verificadas,MEDAL
16,17,Bomberman 2,MEDAL
17,18,Clutch Master 2,MEDAL
18,19,Fast Trigger 2,MEDAL
19,20,Invictus 2,MEDAL
20,21,King Of Lobby 2,MEDAL
21,22,Brotherhood,MEDAL
22,23,Bomberman 3,MEDAL
23,24,Fast Trigger 3,MEDAL
24,25,Invictus 3,MEDAL
25,26,King Of Lobby 3,MEDAL
26,27,Fast Trigger 4,MEDAL
27,28,King Of Lobby 4,MEDAL
28,29,Prime,MEDAL
29,30,Rookie,MEDAL
30,31,Legend,MEDAL
31,32,Gamers Club Awards 2019 - Eu Votei,MEDAL
32,33,Aspirante,MEDAL
33,34,2k20 na Cabeça,MEDAL
34,35,Experiência de Batalha,MEDAL
35,36,Safe do Safe,MEDAL
36,37,Missão da Tribo,MEDAL
37,38,Closed Beta - X1,MEDAL
38,39,GamersCard - Silver,MEDAL
39,40,Fogueira,MEDAL
40,41,Pescaria,MEDAL
41,42,Coins - Eu participei do BETA GOLD!,MEDAL
42,43,Coins - Eu participei do BETA SILVER!,MEDAL
43,44,Sobreviventes,MEDAL
44,45,#YADINHO - Eu Fui!,MEDAL
45,46,Pedra Violeta,MEDAL
46,47,PIN Black Friday 2021,PIN
